"id_lab","site_id","sheet_name_unbc","lab_group","sp_code1","sp_code2","sp_code3","sp_code4","site_pattern"
"f20401","199267_us_ed1b","BT CH",4,"BT","CH",NA,NA,"vic_vic"
"f20402","24715757_ds_ed1","BT CH",4,"BT","CH",NA,NA,"vic_vic"
"f60503","199171_ds_ed1","BT CH RB SK",5,"BT","CH","RB","SK","vic_vic_vic_vic"
"f60504","199171_us_ed1","BT CH RB SK",5,"BT","CH","RB","SK","vic_vic_vic_vic"
"f60505","199190_ds_ed1","BT CH RB SK",5,"BT","CH","RB","SK","vic_vic_vic_vic"
"f60506","203582_us_ed1a","BT CH RB SK",5,"BT","CH","RB","SK","vic_vic_vic_vic"
"f60507","203582_us_ed1b","BT CH RB SK",5,"BT","CH","RB","SK","vic_vic_vic_vic"
"f60808","196209_us_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
"f60809","199237_ds_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
"f60810","199237_us_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
"f60811","199267_ds_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
"f60812","199273_ds_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
"f60813","23919_ds_ed1a","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
"f60814","23919_ds_ed1b","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
"f40915","196085_ds_ed1","BT CH BB SK",9,"BT","CH","BB","SK","vic_vic_vic_fam"
"f41016","196076_ds_ed2a","BT CH BB RB",10,"BT","CH","BB","RB","vic_vic_vic_fam"
"f41017","196076_ds_ed2b","BT CH BB RB",10,"BT","CH","BB","RB","vic_vic_vic_fam"
"f41018","196076_ds_ed3","BT CH BB RB",10,"BT","CH","BB","RB","vic_vic_vic_fam"
"f41019","196085_us_ed1a","BT CH BB RB",10,"BT","CH","BB","RB","vic_vic_vic_fam"
"f41020","196085_us_ed1b","BT CH BB RB",10,"BT","CH","BB","RB","vic_vic_vic_fam"
"f61121","126158_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61122","126158_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61123","196076_ds_ed1a","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61124","196076_ds_ed1b","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61125","196076_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61126","199173_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61127","199173_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61128","199174_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61129","199190_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61130","199267_us_ed1a","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61131","199278_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61132","199278_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61133","20251005_ds_ed","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61134","20251005_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f61135","203578_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"f21236","126349_ds_ed1","BT RB",12,"BT","RB",NA,NA,"vic_vic"
"f21237","196332_ds_ed1","BT RB",12,"BT","RB",NA,NA,"vic_vic"
"f21238","196332_us_ed1","BT RB",12,"BT","RB",NA,NA,"vic_vic"
"m10139","199663_ds_ed1","BT GR BB RB",1,"BT","GR","BB","RB","fam_fam_vic_vic"
"m10140","199663_us_ed1","BT GR BB RB",1,"BT","GR","BB","RB","fam_fam_vic_vic"
"m21241","125000_ds_ed1a","BT RB",12,"BT","RB",NA,NA,"vic_vic"
"m21242","125194_ds_ed1a","BT RB",12,"BT","RB",NA,NA,"vic_vic"
"m21243","125194_ds_ed1b","BT RB",12,"BT","RB",NA,NA,"vic_vic"
"m21244","57695_us_ed1","BT RB",12,"BT","RB",NA,NA,"vic_vic"
"m21245","57696_ds_ed1","BT RB",12,"BT","RB",NA,NA,"vic_vic"
"m21246","57696_us_ed1","BT RB",12,"BT","RB",NA,NA,"vic_vic"
"m41347","125000_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41348","125000_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41349","125179_ds_ed1a","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41350","125179_ds_ed1b","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41351","125179_us_ed1a","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41352","125179_us_ed1b","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41353","125180_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41354","125180_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41355","125231_ds_ed1a","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41356","125231_ds_ed1c","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41357","125231_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41358","125261_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41359","125261_us_ed1a","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41360","125261_us_ed1b","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41361","198692_ds_ed1a","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41362","198692_ds_ed1b","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41363","198692_ds_ed2","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41364","198692_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41365","203597_ds_ed1a","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41366","203597_ds_ed1b","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41367","203597_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41368","203605_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41369","203605_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41370","24718557_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41371","57690_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41372","57690_us_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"m41373","57695_ds_ed1","BT GR RB SK",13,"BT","GR","RB","SK","vic_vic_vic_fam"
"s60274","8547_us_ed1","BTDV CH CO SK",2,"DV","CH","CO","SK","vic_vic_vic_vic"
"s60275","bulkley_falls_ds_ed1","BTDV CH CO SK",2,"DV","CH","CO","SK","vic_vic_vic_vic"
"s60276","bulkley_falls_ds_ed2","BTDV CH CO SK",2,"DV","CH","CO","SK","vic_vic_vic_vic"
"s60377","8547_ds_ed2","BTDV CO RB SK",3,"DV","CO","RB","SK","vic_vic_vic_vic"
"s60678","197962_ds_ed","CH CO RB SK",6,"CH","CO","RB","SK","vic_vic_vic_vic"
"s50879","197960_ds_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_NA"
"s60880","197962_us_ed","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
"s60881","8547_ds_ed1","BT CH CO SK",8,"BT","CH","CO","SK","vic_vic_vic_vic"
"s61182","197360_ds_ed","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61183","197378 ds_ed1a","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61184","197378_Us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61185","197378_ds_ed1b","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61186","197379_ds_ed","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61187","58067_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61188","8525_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61189","8525_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61190","8525_us_ed2","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61191","8530_ds_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s61192","8530_us_ed1","BT CH CO RB",11,"BT","CH","CO","RB","vic_vic_vic_vic"
"s31493","197379_us_ed1","BT CO RB",14,"BT","CO","RB",NA,"vic_vic_vic"
